strategy;forecast_date;month_end;state_date;model_requested;model_used;expected_return;portfolio_return;n_assets;max_weight;weight_sum;expected_col;state_infl_high;state_vol_high_auto;state_dd_stress
selector_rule_based;2020-09-30;2020-09-30;2020-06-30;ridge;ridge;0.09678479;0.02106467;9;0.15;1.0;prediction_scaled;0.0;0.0;0.0
selector_rule_based;2020-12-31;2020-12-31;2020-09-30;catboost_lags_regimes;catboost_lags_regimes;0.06887294;0.09541194;9;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_rule_based;2021-03-31;2021-03-31;2020-12-31;catboost_lags_regimes;catboost_lags_regimes;0.06191658;0.07710571;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_rule_based;2021-06-30;2021-06-30;2021-03-31;catboost_lags_regimes;catboost_lags_regimes;0.08789549;-0.00687018;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_rule_based;2021-09-30;2021-09-30;2021-06-30;catboost_lags_regimes;catboost_lags_regimes;0.10430005;0.07826883;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_rule_based;2021-12-31;2021-12-31;2021-09-30;catboost_lags_regimes;catboost_lags_regimes;0.04284887;-0.10775079;10;0.15;1.0;prediction_scaled;1.0;0.0;0.0
selector_rule_based;2022-03-31;2022-03-31;2021-12-31;patchtst_global;patchtst_global;0.01936858;-0.08844006;10;0.15;1.0;prediction_scaled;1.0;1.0;1.0
selector_rule_based;2022-06-30;2022-06-30;2022-03-31;patchtst_global;patchtst_global;0.02335462;0.09002091;8;0.15;1.0;prediction_scaled;0.0;1.0;1.0
selector_rule_based;2022-09-30;2022-09-30;2022-06-30;patchtst_global;patchtst_global;-0.04184353;0.22935005;12;0.15;1.0;prediction_scaled;0.0;1.0;1.0
selector_rule_based;2022-12-31;2022-12-31;2022-09-30;patchtst_global;patchtst_global;0.10015756;0.33139752;10;0.15;1.0;prediction_scaled;1.0;1.0;1.0
selector_rule_based;2023-03-31;2023-03-31;2022-12-31;patchtst_global;patchtst_global;0.3813392;0.19103104;8;0.15;1.0;prediction_scaled;0.0;1.0;1.0
selector_rule_based;2023-06-30;2023-06-30;2023-03-31;patchtst_global;patchtst_global;0.48407478;0.41726454;7;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_rule_based;2023-09-30;2023-09-30;2023-06-30;patchtst_global;patchtst_global;0.54887803;-0.0132832;7;0.15;1.0;prediction_scaled;1.0;0.0;1.0
selector_rule_based;2023-12-31;2023-12-31;2023-09-30;patchtst_global;patchtst_global;-0.07437092;0.05733967;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_rule_based;2024-03-31;2024-03-31;2023-12-31;patchtst_global;patchtst_global;0.07020457;-0.06098016;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_rule_based;2024-06-30;2024-06-30;2024-03-31;patchtst_global;patchtst_global;0.02163246;-0.06174479;10;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_rule_based;2024-09-30;2024-09-30;2024-06-30;patchtst_global;patchtst_global;-0.00119726;-0.08466104;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_rule_based;2024-12-31;2024-12-31;2024-09-30;patchtst_global;patchtst_global;0.05468494;0.0973113;9;0.15;1.0;prediction_scaled;1.0;0.0;1.0
selector_rule_based;2025-03-31;2025-03-31;2024-12-31;patchtst_global;patchtst_global;0.13664097;-0.08654685;8;0.15;1.0;prediction_scaled;0.0;1.0;1.0
selector_rule_based;2025-06-30;2025-06-30;2025-03-31;patchtst_global;patchtst_global;0.06027547;0.03344357;9;0.15;1.0;prediction_scaled;0.0;0.0;1.0
selector_rule_based;2025-09-30;2025-09-30;2025-06-30;patchtst_global;patchtst_global;0.07403699;-0.01373356;8;0.15;1.0;prediction_scaled;0.0;0.0;1.0
